ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,pct_chg
603800.SH,20180831,20180630,0.1094,0.1094,2.3237,2.3237,2.3941,0.1569,0.9821,8879195.39,13875947.27,93478393.22,2.0506,1.4918,1.0761,2.0803,0.4452,1.7997,0.3311,16130528.82,31768802.48,54068291.55,7481798.9912,73481798.9912,290366429.21,9425042.46,254681555.62,-80941736.0,863230294.08,572613038.24,491671302.24,1193300027.83,236923555.63,0.1094,4.4991,0.0815,1.1391,0.2049,0.1527,0.036,0.3533,4.5877,19.3404,80.6596,13.2497,4.5877,5.2886,6.9015,1.0595,2.1723,96.6626,5.5032,6.5729,2.4343,2.41,1.4845,2.1762,1.5189,2.2807,4.8686,4.3524,37.1359,1.5907,1.5617,74.8555,25.1445,57.815,21.3426,78.4216,98.3002,1.6998,0.0311,0.5907,1.6877,3.6744,1.5568,3.3894,,0.0306,228.4818,3.0378,1.5588,285412120.98,5.5093,4.8184,92.0072,2.5531,2.1286,1.587,8.4829,91.5937,91.5937,144.6575,95.3268,104.0761,91.7564,166.72,144.6752,88.501,0.2272,4.6632,0.2253,41.1619,41.1619,41.6302,6365.3932,1.727,-11.9945
603855.SH,20180825,20180630,0.17,0.17,2.0298,2.0298,2.0273,0.2616,0.9723,12844741.17,42588553.08,353387326.01,1.9553,1.635,1.3398,0.7929,0.3713,2.2866,0.2851,50962823.14,64210959.22,82215148.0,-19600848.3702,-9600848.3702,890497296.55,,10000000.0,-240300070.09,1283842059.25,860226888.79,619926818.7,1423457637.71,408494818.68,0.1674,4.2606,-0.0526,1.2339,-0.2345,0.1939,-0.0592,-0.029,8.1971,52.5876,47.4124,45.1567,8.1971,38.307,6.8334,0.0162,-1.1676,92.4162,8.4762,9.5552,3.9152,3.83,3.008,2.7243,2.3371,3.8156,7.8304,5.4486,38.9159,1.6371,1.6647,76.0916,23.9084,55.4826,0.7025,99.0947,100.0,,-0.0193,0.6371,1.5664,141.0571,1.4257,128.3842,,-0.0193,384.7988,4.6742,2.3519,423103350.84,9.6988,37.568,92.7709,2.4037,1.6734,1.4929,7.3386,41.6667,41.6667,62.1855,64.5633,72.224,72.8323,48.02,62.2199,62.6519,-0.7432,-3.5857,-0.7413,21.9932,21.9932,3.4244,26.8709,6.259,-5.4898
603895.SH,20180828,20180630,0.39,0.39,2.6453,2.6453,3.493,0.129,1.2561,2725553.06,38208990.37,84107859.62,2.1742,1.5302,0.9071,1.2393,0.3332,39.5595,0.314,43972957.61,44815138.14,46101820.17,-212104963.3553,-221968063.3553,494869902.3,2000000.0,0.0,-122774237.65,611695547.72,581053256.98,458279019.33,634516945.08,149702101.86,0.3787,5.8781,-0.0564,1.3851,0.772,0.4146,-1.9625,-2.0537,14.2921,29.4183,70.5817,11.3102,14.2921,2.1003,10.036,-0.8261,2.3358,84.6196,15.3804,15.6749,8.8313,8.83,8.2433,4.922,4.4878,8.2989,17.6626,9.844,43.9169,1.7831,1.9643,95.0977,4.9023,54.066,0.0,100.1237,99.5975,0.4025,-0.0123,0.7831,1.2786,,1.2311,,,-0.0123,405.2086,8.9756,4.4958,31857648.13,16.5019,1.6982,82.5528,4.5639,4.1322,2.6612,-4.5755,-40.9091,-40.9091,-125.6364,7.1932,4.9041,7.5612,10.15,-147.5644,-54.6638,16.6637,64.0618,117.7715,32.1043,32.1043,121.2143,108.748,137.2523,-7.6182
603901.SH,20180830,20180630,0.11,0.11,1.8816,1.8816,0.4047,0.1033,0.9154,4918071.14,39761691.97,223001199.3,1.3769,0.5812,0.5264,1.9645,0.4408,2.5696,0.3175,47763758.38,63249624.85,83861713.64,-9322163.229,11677836.771,929943095.54,82669190.19,423200000.0,184036164.06,778573639.8,480577392.43,586413556.49,1398868664.84,407465553.19,0.1117,2.4214,0.0246,1.0187,-0.0222,0.1581,-0.0233,0.0292,5.6706,29.6288,70.3712,21.4405,5.6706,9.9126,9.7495,1.7785,0.7275,93.6539,7.1317,8.4036,4.6719,4.64,4.1577,2.6683,1.8005,3.6381,9.3438,5.3366,59.5407,2.4716,2.4786,72.7984,27.2016,32.2861,30.253,69.24,88.7959,11.2041,0.0077,1.4716,0.6746,2.2887,0.5423,1.8397,4.2305,0.0069,420.0936,3.601,1.8849,289211128.71,7.1587,8.9749,92.9955,3.1821,2.7213,1.2387,14.7597,10.0,10.0,116.1949,17.2627,18.1302,14.4912,6.97,116.1917,8.4422,2.5887,3.5299,2.5903,31.0808,31.0808,38.3278,125.654,5.578,-11.219
603912.SH,20180828,20180630,0.24,0.24,1.1365,1.1365,1.4636,0.079,0.6495,8955634.66,41578820.59,102172795.1,3.0977,2.0683,1.0025,1.4376,0.3084,2.9479,0.262,49042652.95,58416635.56,63013378.68,-167754608.4945,-167754608.4945,253196219.82,35087394.94,0.0,-46620549.82,589873452.16,531123697.39,484503147.57,638680363.59,153291435.09,0.2402,3.0353,-0.3396,0.7285,-0.9428,0.2776,-0.7972,-0.7972,21.1318,42.7252,57.2748,19.6483,21.1318,12.3037,7.8145,-0.4699,1.646,79.492,24.6629,24.4279,8.0115,7.93,6.5917,6.3997,5.5362,7.8552,16.023,12.7994,31.0998,1.4514,1.4471,84.6117,15.3883,63.635,0.0,100.0,87.8289,12.1711,-0.2822,0.4514,2.2155,,2.0462,,,-0.2479,443.8492,11.0724,5.5362,80128794.51,24.9138,10.5027,80.2546,4.1617,3.662,2.8786,-12.875,9.0909,9.0909,-69.8,46.8875,45.389,45.0698,32.65,-222.186,-32.9183,-27.8786,3.1511,2.5377,17.2303,17.2303,28.913,12.3997,116.2582,-5.9211
603960.SH,20180822,20180630,0.21,0.21,1.7732,1.7732,1.1476,0.1158,1.0789,1850679.07,26413086.56,68791922.43,1.6633,1.138,0.991,2.847,0.4721,2.0575,0.3172,37902860.61,39523608.02,48847726.5,11647327.1233,-25352672.8767,262984619.98,9147000.0,35000000.0,-140409507.64,244594359.07,197663114.77,57253607.13,570334240.03,161513589.2,0.2091,3.3422,0.0041,1.1946,-0.8902,0.2923,0.0861,-0.1875,14.1102,28.6947,71.3053,12.4596,14.1102,1.2024,11.7709,-0.5137,-0.3861,84.1898,16.0556,16.4862,6.3489,6.28,5.9332,5.2292,4.4756,6.1527,12.6978,10.4584,36.4563,1.5737,1.6978,58.833,41.167,29.0331,6.1368,79.2291,97.0218,2.9782,0.0019,0.5737,1.4713,12.9106,0.7964,6.9884,,0.0018,203.4332,8.9512,3.7395,139092127.44,17.0289,1.239,87.6326,2.9612,2.6301,1.8936,-21.3367,40.0,40.0,-98.2973,103.6614,95.3054,55.3635,60.19,-97.0947,43.7975,-20.7277,25.8959,3.0541,106.8565,106.8565,132.92,-6.6458,8.0432,-8.8371
603966.SH,20180822,20180630,0.1278,0.1278,1.5409,1.5409,1.564,0.1522,1.2794,3124016.34,23590187.72,77108735.19,2.4195,1.7572,1.6239,1.1875,0.3381,1.7603,0.2635,28032788.62,28473685.52,37663513.92,-47622789.2381,-10056122.5681,378478083.23,11925419.24,80000000.0,-256339177.22,782868157.7,608220047.82,321880870.6,934276752.09,302140601.1,0.1266,4.0478,-0.0105,1.4316,0.4213,0.1349,-0.2257,-0.0476,8.2147,23.7111,76.2889,13.6506,8.2147,6.8143,8.0354,-1.1991,0.3301,91.3799,9.7249,8.7557,3.1881,3.17,2.8152,2.3067,2.1642,2.6716,6.3762,4.6134,35.5107,1.5506,1.4731,78.2603,21.7397,59.0987,8.5628,91.4372,91.0873,8.9127,-0.0052,0.5506,1.8161,10.6785,1.6642,9.7859,,-0.0047,331.0584,4.3284,2.1642,206973529.12,9.7503,4.8858,87.516,2.9458,2.6293,1.983,11.2845,3.6496,3.6496,90.4891,7.9215,8.2411,8.6529,22.43,87.4641,-0.6308,-21.1739,15.7857,3.975,22.228,22.228,20.2316,1070.5194,9.3426,-13.7081
603969.SH,20180816,20180630,0.08,0.08,1.7326,1.7326,0.8475,0.1359,0.7854,8668267.27,35259595.5,154984245.49,2.598,2.1202,1.8274,1.0772,0.5999,3.7664,0.4513,39042676.18,55191889.72,88722536.96,20492143.3511,60492143.3511,474150179.41,26169380.0,190000000.0,16936905.89,1458704169.53,1061298646.64,1078235552.53,1814474918.18,534360052.48,0.0757,2.786,0.1964,0.9213,-0.0379,0.0952,0.0353,0.1043,4.2856,15.4226,84.5774,10.3121,4.2856,3.8953,6.1096,0.3071,0.8293,96.1148,5.1702,5.4922,2.7088,2.63,2.1742,2.4788,1.9342,2.5456,5.4176,4.9576,29.8221,1.425,1.373,74.54,25.46,63.0166,10.4713,89.0546,96.2091,3.7909,0.1715,0.4249,2.3408,8.5046,2.1131,7.6774,86.1258,0.165,228.8389,3.8684,1.9729,311117548.06,5.1554,3.4375,93.9966,2.4377,1.9897,1.7639,20.5098,-50.0,-50.0,238.0183,-35.1475,-35.0501,-29.9236,-42.16,300.0655,-31.9516,-31.5277,8.2543,-0.715,7.3185,7.3185,8.0018,643.3285,2.9803,5.3929
603985.SH,20180825,20180630,0.6556,0.6556,4.6444,4.6444,5.5741,0.0959,3.2778,2371423.97,55320955.03,130188087.25,3.2645,2.2816,1.8145,2.1416,0.5797,1.5352,0.3807,63402399.63,66234854.0,81708226.75,-146877710.6095,-119350034.7695,230810209.74,2629033.26,27571813.97,-162545805.85,972472758.47,585051442.54,422479222.72,1062121882.38,350870774.15,0.5547,9.9476,-0.083,3.3738,-1.3353,0.6369,-1.4123,-1.1476,11.9441,26.953,73.047,11.3803,11.9441,5.7036,5.3838,0.293,1.8855,86.8737,13.7078,13.7127,5.6583,5.63,5.4258,5.2199,4.5466,5.586,11.3166,10.4398,20.1466,1.2523,1.2445,65.0997,34.9003,75.0619,2.5959,97.4041,98.9826,1.0174,-0.0334,0.2523,3.9636,37.522,3.7258,35.2705,,-0.0331,213.5643,9.0932,4.5466,349852168.51,13.7047,4.7956,87.9421,2.9798,2.7698,2.3725,13.5125,-13.4978,-13.4978,-111.6165,16.8088,16.7421,20.1919,20.36,-115.095,11.5601,-20.7874,4.2921,2.9762,33.6746,33.6746,43.9128,9.3227,7.7373,-7.3019
000008.SZ,20180825,20180630,0.0218,0.0218,0.2593,0.2593,1.0295,0.0114,0.5046,10996948.16,50383224.98,373152197.31,1.9626,1.6045,1.3988,0.2968,0.1259,2.9901,0.0713,16530654.53,108607195.91,141685939.53,589545395.4553,582490760.8053,1512620217.08,59561717.27,1092737591.68,123765917.97,3191040834.01,2507984970.37,2631750888.34,8216746709.35,1452563721.3,0.0218,2.5002,-0.3146,0.516,-0.0184,0.0386,0.2094,0.2069,8.8351,51.1164,48.8836,47.7002,8.8351,13.0378,31.4017,3.2607,-0.0047,97.7355,11.7475,14.8776,0.8679,0.86,0.7124,1.0613,0.6302,0.9757,1.7358,2.1226,27.2238,1.3741,1.4471,52.236,47.764,32.5985,13.2989,85.6602,97.765,2.235,-0.34,0.3741,2.6412,6.4411,1.1974,2.9202,25.7829,-0.3324,1018.3683,1.2604,0.5998,279479453.82,11.9075,11.7801,97.4042,0.7182,0.581,0.5492,-90.3243,10.101,10.101,-270.1176,41.2092,12.7929,10.1397,26.91,-271.0077,-3.5205,-0.8447,-8.3289,-0.9423,28.4217,28.4217,42.3543,295.6421,14.1587,-22.1557
