时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2017-12-22,五",74.8,75.2,73.63,74.02,-1.19%,2.10%,"71,952,658","5,340,481,000",0.664,79881
"2017-12-25,一",74.06,76.17,73.37,74.16,0.19%,3.78%,"110,997,896","8,271,645,300",1.02,106287
"2017-12-26,二",74.11,74.56,72.88,73.94,-0.30%,2.27%,"83,228,950","6,125,332,800",0.768,85522
"2017-12-27,三",73.45,73.45,70.02,70.35,-4.86%,4.64%,"150,683,450","10,782,720,400",1.39,163794
"2017-12-28,四",70.3,71.42,69.67,70.59,0.34%,2.49%,"113,088,642","7,984,386,900",1.04,100290
"2017-12-29,五",71.09,71.53,69.5,69.98,-0.86%,2.88%,"104,001,801","7,316,476,600",0.96,100178
"2018-01-02,二",70.21,72.8,70.18,72.59,3.73%,3.74%,"123,616,317","8,873,521,600",1.14,116671
"2018-01-03,三",73.4,73.9,70.11,70.97,-2.23%,5.22%,"179,405,490","12,887,286,400",1.66,163727
"2018-01-04,四",71.02,72.2,70.55,71.18,0.30%,2.32%,"106,115,784","7,558,632,000",0.98,111923
"2018-01-05,五",71.59,71.88,70.45,70.89,-0.41%,2.01%,"77,207,581","5,478,422,400",0.713,90520
"2018-01-08,一",70.79,70.79,69.32,70.01,-1.24%,2.07%,"122,872,953","8,582,728,300",1.13,143288
"2018-01-09,二",70.3,72.08,70.03,71.87,2.66%,2.93%,"123,949,115","8,846,740,700",1.14,129301
"2018-01-10,三",71.6,71.87,70.71,71.72,-0.21%,1.61%,"82,812,301","5,908,131,800",0.764,88008
"2018-01-11,四",71.05,73.12,71,72.65,1.30%,2.96%,"109,628,895","7,942,591,600",1.01,118607
"2018-01-12,五",72.66,74.5,72.33,74.41,2.42%,2.99%,"128,266,294","9,412,700,300",1.18,125103
"2018-01-15,一",75.35,78.5,75.35,77.65,4.35%,4.23%,"200,659,870","15,506,926,000",1.85,203284
"2018-01-16,二",77.68,79.48,77.2,77.81,0.21%,2.94%,"150,164,320","11,730,259,400",1.39,149146
"2018-01-17,三",78.1,79.35,76.5,77.34,-0.60%,3.66%,"141,357,420","11,007,901,800",1.3,132341
"2018-01-18,四",78.56,80.11,77.08,77.61,0.35%,3.92%,"207,447,140","16,276,294,000",1.92,160798
"2018-01-19,五",78.3,79.06,76.89,77.59,-0.03%,2.80%,"155,380,910","12,121,952,900",1.43,126552
"2018-01-22,一",77.11,79.2,77.05,78.74,1.48%,2.77%,"121,588,286","9,519,920,000",1.12,110076
"2018-01-23,二",80.3,81.28,78.29,78.76,0.03%,3.80%,"191,989,840","15,307,310,000",1.77,170176
"2018-01-24,三",79,79.44,76.38,76.44,-2.95%,3.89%,"168,914,100","13,089,919,900",1.56,180749
"2018-01-25,四",75.93,75.99,74.8,75.29,-1.50%,1.56%,"123,439,652","9,292,249,800",1.14,141344
"2018-01-26,五",75.3,76.85,75.21,76.1,1.08%,2.18%,"112,554,650","8,558,721,000",1.04,118321
"2018-01-29,一",76.66,76.7,72.89,73.36,-3.60%,5.01%,"151,784,350","11,341,796,900",1.4,168582
"2018-01-30,二",72.9,74.36,72.8,73.38,0.03%,2.13%,"86,781,693","6,389,287,000",0.801,92983
"2018-01-31,三",72.65,75.15,72.52,75.08,2.32%,3.58%,"93,472,629","6,959,739,500",0.863,107564
"2018-02-01,四",75,75.6,74.05,75.48,0.53%,2.06%,"141,576,290","10,624,480,500",1.31,106957
"2018-02-02,五",74.87,76.38,74.13,76.01,0.70%,2.98%,"100,758,337","7,592,895,900",0.93,94796
"2018-02-05,一",74.4,75.95,74.3,75.71,-0.39%,2.17%,"94,805,442","7,124,096,900",0.875,94839
"2018-02-06,二",73.85,74.7,72.5,73.77,-2.56%,2.91%,"204,966,680","15,035,749,000",1.89,139877
"2018-02-07,三",74.6,74.65,70.5,71.38,-3.24%,5.63%,"174,784,080","12,632,931,000",1.61,141178
"2018-02-08,四",70.61,71.5,68.37,68.99,-3.35%,4.38%,"153,010,890","10,664,335,000",1.41,157107
"2018-02-09,五",66.5,66.97,62.2,64.43,-6.61%,6.91%,"249,202,980","16,087,879,000",2.3,202223
"2018-02-12,一",64.66,65.65,64,64.96,0.82%,2.56%,"102,961,177","6,677,189,800",0.95,107980
"2018-02-13,二",66.2,68.35,66.06,67.02,3.17%,3.53%,"114,795,720","7,736,172,600",1.06,122782
"2018-02-14,三",67.5,69.19,67.2,68.89,2.79%,2.97%,"64,650,188","4,399,687,800",0.597,77653
"2018-02-22,四",70.23,70.42,69.23,69.77,1.28%,1.73%,"78,364,999","5,477,772,500",0.723,76947
"2018-02-23,五",70.25,71.46,69.83,70.64,1.25%,2.34%,"55,601,107","3,929,000,300",0.513,71076
"2018-02-26,一",70.99,71.58,69.6,70.8,0.23%,2.80%,"69,384,092","4,900,094,200",0.641,76792
"2018-02-27,二",71.02,71.19,69.47,69.81,-1.40%,2.43%,"78,099,482","5,485,814,900",0.721,73896
"2018-02-28,三",69.2,69.24,67.7,67.76,-2.94%,2.21%,"78,217,046","5,354,288,600",0.722,87737
"2018-03-01,四",67.18,69.38,66.88,68.93,1.73%,3.69%,"66,329,617","4,535,163,800",0.612,73932
"2018-03-02,五",68,68.66,67.45,67.68,-1.81%,1.76%,"58,143,932","3,950,841,300",0.537,68257
"2018-03-05,一",67.66,68.59,67,67.88,0.30%,2.35%,"60,982,380","4,123,448,700",0.563,61070
"2018-03-06,二",68.4,69.39,67.4,69.32,2.12%,2.93%,"65,707,723","4,498,428,200",0.607,80183
"2018-03-07,三",68.98,70.18,68.18,68.78,-0.78%,2.89%,"59,055,501","4,086,838,900",0.545,71565
"2018-03-08,四",69.06,70.84,68.76,70.54,2.56%,3.02%,"69,268,165","4,847,200,900",0.639,87386
"2018-03-09,五",71,71.46,70.31,70.89,0.50%,1.63%,"47,622,200","3,371,832,600",0.44,59351
"2018-03-12,一",71.6,71.86,70.6,71.12,0.32%,1.78%,"58,335,147","4,159,385,500",0.539,65597
"2018-03-13,二",71.2,71.35,69.18,69.42,-2.39%,3.05%,"60,949,227","4,270,300,800",0.563,86245
"2018-03-14,三",68.85,69.2,68.26,68.82,-0.86%,1.35%,"51,476,079","3,538,649,600",0.475,67264
"2018-03-15,四",68.41,70.7,68.4,70.49,2.43%,3.34%,"62,711,086","4,389,005,500",0.579,77983
"2018-03-16,五",70.7,71.95,70.45,70.51,0.03%,2.13%,"70,132,623","4,999,966,500",0.647,82286
"2018-03-19,一",70.89,73.88,70.48,73.81,4.68%,4.82%,"92,449,982","6,687,346,300",0.853,119074
"2018-03-20,二",73.1,74.19,72.7,74.09,0.38%,2.02%,"65,977,835","4,847,777,000",0.609,80576
"2018-03-21,三",76.7,76.71,73.03,73.82,-0.36%,4.97%,"136,748,590","10,277,152,000",1.26,144623
"2018-03-22,四",73.51,74.17,71.68,72.88,-1.27%,3.37%,"90,287,752","6,578,006,300",0.833,105977
"2018-03-23,五",70,70.77,69.42,70.3,-3.54%,1.85%,"148,695,490","10,435,411,000",1.37,120745
"2018-03-26,一",69.2,69.97,66.98,68.28,-2.87%,4.25%,"138,098,520","9,441,425,600",1.27,158815
"2018-03-27,二",69.58,69.66,67.5,68.16,-0.18%,3.16%,"103,992,027","7,111,483,100",0.96,125144
"2018-03-28,三",67,67.68,64.88,65.4,-4.05%,4.11%,"142,078,780","9,380,984,800",1.31,174978
"2018-03-29,四",65.42,67.28,63.51,66.39,1.51%,5.76%,"146,254,570","9,514,381,400",1.35,172248
"2018-03-30,五",66.01,66.27,64.8,65.31,-1.63%,2.21%,"84,202,251","5,499,095,900",0.777,111906
"2018-04-02,一",64.25,66.25,64.22,64.66,-1.00%,3.11%,"80,555,909","5,242,356,800",0.744,98314
"2018-04-03,二",63.95,64.95,63.84,64.51,-0.23%,1.72%,"60,407,068","3,885,145,800",0.558,74211
"2018-04-04,三",64.9,65.58,63.98,64.55,0.06%,2.48%,"67,998,953","4,414,551,500",0.628,86792
"2018-04-09,一",64.99,65.99,64.05,65.96,2.18%,3.01%,"71,614,285","4,679,345,600",0.661,94871
"2018-04-10,二",65.69,68.4,65.39,68.25,3.47%,4.56%,"90,513,972","6,064,986,100",0.836,120681
"2018-04-11,三",68.3,68.57,67.48,67.67,-0.85%,1.60%,"72,092,432","4,894,354,100",0.666,88865
"2018-04-12,四",67.91,67.97,66.69,66.72,-1.40%,1.89%,"54,450,250","3,659,539,900",0.503,67545
"2018-04-13,五",67.43,67.45,66.05,66.18,-0.81%,2.10%,"46,638,574","3,114,028,900",0.431,58971
"2018-04-16,一",66.01,66.66,63.88,64.3,-2.84%,4.20%,"80,963,957","5,244,687,500",0.747,103603
"2018-04-17,二",64.44,64.86,62.83,63.13,-1.82%,3.16%,"83,167,288","5,312,790,700",0.768,101813
"2018-04-18,三",63.78,63.95,62.6,63.51,0.60%,2.14%,"76,484,549","4,841,197,700",0.706,84403
"2018-04-19,四",63.9,64.95,63.66,64.48,1.53%,2.03%,"72,647,375","4,680,959,600",0.671,84004
"2018-04-20,五",64.2,64.87,63.51,64.15,-0.51%,2.11%,"60,334,073","3,871,514,900",0.557,64421
"2018-04-23,一",64.15,65.16,63.78,64.99,1.31%,2.15%,"54,446,666","3,516,175,400",0.503,67448
